N,D,patch,species,env,time,dispersal,germination,survival
18,2,1,28,0.6200942561161418,2000,1.2648552168552958e-5,0.4,0.1
23,1,1,22,0.6200942561161418,2000,3.237457542817647e-5,0.4,0.1
17,2,1,33,0.6200942561161418,2000,4.094915062380427e-5,0.4,0.1
25,1,1,27,0.6200942561161418,2000,8.286427728546843e-5,0.4,0.1
24,5,1,22,0.6200942561161418,2000,1.3257113655901095e-4,0.4,0.1
16,2,1,22,0.6200942561161418,2000,1.6768329368110083e-4,0.4,0.1
18,1,1,28,0.6200942561161418,2000,3.39322177189533e-4,0.4,0.1
24,2,1,22,0.6200942561161418,2000,4.2919342601287783e-4,0.4,0.1
16,1,1,23,0.6200942561161418,2000,5.428675439323859e-4,0.4,0.1
32,3,1,19,0.6200942561161418,2000,6.866488450042998e-4,0.4,0.1
24,2,1,17,0.6200942561161418,2000,8.68511373751353e-4,0.4,0.1
16,2,1,17,0.6200942561161418,2000,0.0013894954943731374,0.4,0.1
16,1,1,25,0.6200942561161418,2000,0.0022229964825261957,0.4,0.1
19,1,1,17,0.6200942561161418,2000,0.002811768697974231,0.4,0.1
27,2,1,22,0.6200942561161418,2000,0.004498432668969444,0.4,0.1
21,2,1,17,0.6200942561161418,2000,0.005689866029018299,0.4,0.1
17,1,1,19,0.6200942561161418,2000,0.0071968567300115215,0.4,0.1
12,1,1,27,0.6200942561161418,2000,0.009102981779915217,0.4,0.1
19,3,1,22,0.6200942561161418,2000,0.011513953993264481,0.4,0.1
21,1,1,19,0.6200942561161418,2000,0.014563484775012445,0.4,0.1
5,1,1,10,0.6200942561161418,2000,0.018420699693267165,0.4,0.1
15,1,1,10,0.6200942561161418,2000,0.023299518105153717,0.4,0.1
12,1,1,10,0.6200942561161418,2000,0.029470517025518096,0.4,0.1
3,1,1,31,0.6200942561161418,2000,0.029470517025518096,0.4,0.1
19,1,1,22,0.6200942561161418,2000,0.04714866363457394,0.4,0.1
11,1,1,21,0.6200942561161418,2000,0.05963623316594643,0.4,0.1
11,1,1,21,0.6200942561161418,2000,0.07543120063354623,0.4,0.1
9,1,1,31,0.6200942561161418,2000,0.07543120063354623,0.4,0.1
15,1,1,23,0.6200942561161418,2000,0.09540954763499944,0.4,0.1
9,1,1,17,0.6200942561161418,2000,0.1206792640639329,0.4,0.1
10,1,1,22,0.6200942561161418,2000,0.1206792640639329,0.4,0.1
20,1,1,22,0.6200942561161418,2000,0.19306977288832497,0.4,0.1
6,2,1,31,0.6200942561161418,2000,0.30888435964774846,0.4,0.1
21,2,1,23,0.6200942561161418,2000,0.49417133613238384,0.4,0.1
15,3,1,21,0.6200942561161418,2000,0.6250551925273976,0.4,0.1
3,1,1,17,0.6200942561161418,2000,0.7906043210907702,0.4,0.1
17,2,1,19,0.6200942561161418,2000,1,0.4,0.1
46,1,1,27,0.6200942561161418,2000,1.2648552168552958e-5,0.7,0.1
49,4,1,28,0.6200942561161418,2000,2.0235896477251556e-5,0.7,0.1
49,1,1,27,0.6200942561161418,2000,2.559547922699533e-5,0.7,0.1
43,3,1,22,0.6200942561161418,2000,3.237457542817647e-5,0.7,0.1
51,1,1,22,0.6200942561161418,2000,4.094915062380427e-5,0.7,0.1
46,1,1,22,0.6200942561161418,2000,6.55128556859551e-5,0.7,0.1
20,1,1,21,0.6200942561161418,2000,8.286427728546843e-5,0.7,0.1
41,1,1,27,0.6200942561161418,2000,8.286427728546843e-5,0.7,0.1
46,1,1,21,0.6200942561161418,2000,2.1209508879201905e-4,0.7,0.1
49,1,1,17,0.6200942561161418,2000,2.682695795279727e-4,0.7,0.1
29,1,1,22,0.6200942561161418,2000,4.2919342601287783e-4,0.7,0.1
31,1,1,21,0.6200942561161418,2000,5.428675439323859e-4,0.7,0.1
30,1,1,27,0.6200942561161418,2000,5.428675439323859e-4,0.7,0.1
24,1,1,17,0.6200942561161418,2000,6.866488450042998e-4,0.7,0.1
39,3,1,17,0.6200942561161418,2000,8.68511373751353e-4,0.7,0.1
36,1,1,23,0.6200942561161418,2000,0.0010985411419875584,0.7,0.1
26,2,1,10,0.6200942561161418,2000,0.0013894954943731374,0.7,0.1
32,3,1,19,0.6200942561161418,2000,0.0013894954943731374,0.7,0.1
56,1,1,22,0.6200942561161418,2000,0.001757510624854793,0.7,0.1
30,1,1,10,0.6200942561161418,2000,0.002811768697974231,0.7,0.1
28,1,1,27,0.6200942561161418,2000,0.0035564803062231283,0.7,0.1
45,1,1,17,0.6200942561161418,2000,0.004498432668969444,0.7,0.1
45,1,1,21,0.6200942561161418,2000,0.005689866029018299,0.7,0.1
53,2,1,15,0.6200942561161418,2000,0.0071968567300115215,0.7,0.1
19,1,1,19,0.6200942561161418,2000,0.009102981779915217,0.7,0.1
43,3,1,27,0.6200942561161418,2000,0.009102981779915217,0.7,0.1
15,1,1,10,0.6200942561161418,2000,0.011513953993264481,0.7,0.1
44,1,1,21,0.6200942561161418,2000,0.011513953993264481,0.7,0.1
49,2,1,22,0.6200942561161418,2000,0.014563484775012445,0.7,0.1
49,3,1,10,0.6200942561161418,2000,0.018420699693267165,0.7,0.1
46,2,1,23,0.6200942561161418,2000,0.023299518105153717,0.7,0.1
37,1,1,21,0.6200942561161418,2000,0.029470517025518096,0.7,0.1
