rep,envscenario,comp,mean_alpha
1,1,equal,1.13
1,1,stable,3.45
1,2,equal,1.16
1,2,stable,3.01
1,3,equal,1.08
1,3,stable,3.28
1,4,equal,1.12
1,4,stable,3.01
1,5,equal,1.12
1,5,stable,3.33
1,6,equal,1.08
1,6,stable,2.45
1,7,equal,1.12
1,7,stable,3.48
1,8,equal,1.1
1,8,stable,3.01
1,9,equal,1.07
1,9,stable,2.82
1,10,equal,1.13
1,10,stable,3.01
1,11,equal,1.14
1,11,stable,2.62
1,12,equal,1.13
1,12,stable,2.68
1,13,equal,1.12
1,13,stable,2.66
1,14,equal,1.11
1,14,stable,2.73
1,15,equal,1.09
1,15,stable,2.15
1,16,equal,1.15
1,16,stable,2.76
1,17,equal,1.1
1,17,stable,3.58
1,18,equal,1.07
1,18,stable,2.79
1,19,equal,1.08
1,19,stable,3.09
1,20,equal,1.1
1,20,stable,2.76
2,1,equal,2.17
2,1,stable,4.24
2,2,equal,2.59
2,2,stable,3.39
2,3,equal,2.43
2,3,stable,4.42
2,4,equal,2.32
2,4,stable,4.92
2,5,equal,1.99
2,5,stable,5.13
2,6,equal,2.43
2,6,stable,4.14
2,7,equal,2.38
2,7,stable,5.02
2,8,equal,1.97
2,8,stable,3.36
2,9,equal,2.26
2,9,stable,5.34
2,10,equal,2.63
2,10,stable,2.91
2,11,equal,1.74
2,11,stable,3.96
2,12,equal,2.76
2,12,stable,5.26
2,13,equal,2.78
2,13,stable,4.33
2,14,equal,2.4
2,14,stable,3.55
2,15,equal,2.22
2,15,stable,3.93
2,16,equal,2.62
2,16,stable,4.47
2,17,equal,2.66
2,17,stable,4.71
2,18,equal,2.22
2,18,stable,4.6
2,19,equal,1.94
2,19,stable,3.65
2,20,equal,1.8
2,20,stable,4.39
3,1,equal,1
3,1,stable,5.91
3,2,equal,3.11
3,2,stable,5.52
3,3,equal,2
3,3,stable,5
3,4,equal,1.59
3,4,stable,10.34
3,5,equal,1
3,5,stable,5
3,6,equal,1
3,6,stable,5.8
3,7,equal,1.99
3,7,stable,6.97
3,8,equal,1
3,8,stable,5
3,9,equal,1.75
3,9,stable,6.9
3,10,equal,1
3,10,stable,8
3,11,equal,1
3,11,stable,5.97
3,12,equal,2.99
3,12,stable,9.82
3,13,equal,2.61
3,13,stable,9.89
3,14,equal,3.88
3,14,stable,5.99
3,15,equal,1.1
3,15,stable,7.75
3,16,equal,2.11
3,16,stable,4.98
3,17,equal,4.8
3,17,stable,9.58
3,18,equal,1
3,18,stable,7.47
3,19,equal,1.11
3,19,stable,5.91
3,20,equal,1.2
3,20,stable,5
4,1,equal,2.24
4,1,stable,6.31
4,2,equal,2.61
4,2,stable,7.18
4,3,equal,1.7
4,3,stable,5.59
4,4,equal,1.81
4,4,stable,5.34
4,5,equal,2.35
4,5,stable,5.63
4,6,equal,2.22
4,6,stable,5.68
4,7,equal,2.38
4,7,stable,4.5
4,8,equal,1.22
4,8,stable,4.67
4,9,equal,2.36
4,9,stable,5.83
4,10,equal,2.15
4,10,stable,3.9
4,11,equal,1
4,11,stable,5.27
4,12,equal,2.82
4,12,stable,6.22
4,13,equal,2.72
4,13,stable,6.51
4,14,equal,1.46
4,14,stable,5.09
4,15,equal,2.3
4,15,stable,5.7
4,16,equal,2.53
4,16,stable,4.97
4,17,equal,1.69
4,17,stable,4.96
4,18,equal,1.53
4,18,stable,5.67
4,19,equal,1
4,19,stable,3.76
4,20,equal,1
4,20,stable,4.84
5,1,equal,1
5,1,stable,2.47
5,2,equal,1.01
5,2,stable,2.63
5,3,equal,1
5,3,stable,2.84
5,4,equal,1
5,4,stable,2.48
5,5,equal,1
5,5,stable,2.71
5,6,equal,1
5,6,stable,3.04
5,7,equal,1.01
5,7,stable,2.58
5,8,equal,1.01
5,8,stable,2.68
5,9,equal,1
5,9,stable,2.57
5,10,equal,1
5,10,stable,2.43
5,11,equal,1.01
5,11,stable,2.39
5,12,equal,1
5,12,stable,2.85
5,13,equal,1
5,13,stable,2.48
5,14,equal,1.01
5,14,stable,2.78
5,15,equal,1.03
5,15,stable,2.53
5,16,equal,1
5,16,stable,2.81
5,17,equal,1
5,17,stable,2.7
5,18,equal,1.01
5,18,stable,2.42
5,19,equal,1
5,19,stable,2.55
5,20,equal,1
5,20,stable,2.34
6,1,equal,1.87
6,1,stable,5.17
6,2,equal,2.62
6,2,stable,5.34
6,3,equal,2.06
6,3,stable,4.34
6,4,equal,1.87
6,4,stable,5.53
6,5,equal,1.88
6,5,stable,3.04
6,6,equal,2.23
6,6,stable,3.83
6,7,equal,2.61
6,7,stable,3.67
6,8,equal,2.04
6,8,stable,4.68
6,9,equal,1.97
6,9,stable,4.56
6,10,equal,2.89
6,10,stable,4.19
6,11,equal,1.8
6,11,stable,4.72
6,12,equal,2.69
6,12,stable,4.73
6,13,equal,2.67
6,13,stable,6.04
6,14,equal,2.94
6,14,stable,4.62
6,15,equal,1.9
6,15,stable,3.6
6,16,equal,2.58
6,16,stable,5.31
6,17,equal,2.61
6,17,stable,5.16
6,18,equal,2.43
6,18,stable,3.39
6,19,equal,1.23
6,19,stable,3.93
6,20,equal,1.68
6,20,stable,4.45
7,1,equal,1.12
7,1,stable,2.61
7,2,equal,1.08
7,2,stable,2.27
7,3,equal,1.08
7,3,stable,2.44
7,4,equal,1.14
7,4,stable,2.5
7,5,equal,1.15
7,5,stable,2.9
7,6,equal,1.15
7,6,stable,2.68
7,7,equal,1.12
7,7,stable,2.46
7,8,equal,1.11
7,8,stable,2.97
7,9,equal,1.19
7,9,stable,2.69
7,10,equal,1.16
7,10,stable,2.61
7,11,equal,1.12
7,11,stable,2.67
7,12,equal,1.1
7,12,stable,2.97
7,13,equal,1.11
7,13,stable,2.83
7,14,equal,1.14
7,14,stable,2.68
7,15,equal,1.09
7,15,stable,2.48
7,16,equal,1.09
7,16,stable,2.71
7,17,equal,1.09
7,17,stable,2.85
7,18,equal,1.08
7,18,stable,3
7,19,equal,1.08
7,19,stable,2.44
7,20,equal,1.08
7,20,stable,2.88
8,1,equal,0
8,1,stable,0
8,2,equal,0
8,2,stable,0
8,3,equal,0
8,3,stable,0
8,4,equal,0
8,4,stable,0
8,5,equal,0
8,5,stable,0
8,6,equal,0
8,6,stable,0
8,7,equal,0
8,7,stable,0
8,8,equal,0
8,8,stable,0
8,9,equal,0
8,9,stable,0
8,10,equal,0
8,10,stable,0
8,11,equal,0
8,11,stable,0
8,12,equal,0
8,12,stable,0
8,13,equal,0
8,13,stable,0
8,14,equal,0
8,14,stable,0
8,15,equal,0
8,15,stable,0
8,16,equal,0
8,16,stable,0
8,17,equal,0
8,17,stable,0
8,18,equal,0
8,18,stable,0
8,19,equal,0
8,19,stable,0
8,20,equal,0
8,20,stable,0
9,1,equal,1
9,1,stable,5.67
9,2,equal,1
9,2,stable,3.89
9,3,equal,1.36
9,3,stable,5.31
9,4,equal,1
9,4,stable,4.77
9,5,equal,1
9,5,stable,2.97
9,6,equal,1
9,6,stable,3.65
9,7,equal,1
9,7,stable,4.18
9,8,equal,1
9,8,stable,2.99
9,9,equal,1
9,9,stable,2.99
9,10,equal,1
9,10,stable,3
9,11,equal,1
9,11,stable,3
9,12,equal,1
9,12,stable,3.96
9,13,equal,1.71
9,13,stable,4.84
9,14,equal,1
9,14,stable,4.72
9,15,equal,1
9,15,stable,2.93
9,16,equal,1
